philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,16:15-16:30,0,0,0,0,45,,0,0,0,,32,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,16:30-16:45,0,0,0,0,48,,0,0,0,,31,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:3
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,16:45-17:00,0,0,0,0,51,,0,0,0,,50,0,0,0,0,0,,,,,,,Eastbound:Shuttle:1,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,17:00-17:15,0,0,0,0,55,,0,0,0,,39,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,17:15-17:30,0,0,0,0,46,,0,0,0,,42,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,17:30-17:45,0,0,0,0,42,,0,0,0,,43,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,17:45-18:00,0,0,0,0,52,,0,0,0,,47,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,18:00-18:15,0,0,0,0,46,,0,0,0,,38,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:2
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,18:15-18:30,0,0,0,0,59,,0,0,0,,54,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,18:30-18:45,0,0,0,0,52,,0,0,0,,26,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:1
